지역,연도,범죄율,실업률,음주율,물가상승률,인구수,평균기온,경찰1인당주민수,기초수급비율(%),조이혼율,지역소득,외국인비율(%)
광주,2014,1108.76,2.8,60.6,1.6,1475884,14.3,476.7,4.0381,2.1,23448,1.1562
광주,2015,957.41,2.9,61.9,0.3,1472199,14.6,458.6,4.8691,1.9,24731,1.2536
광주,2016,753.67,3.1,58.6,0.9,1469214,15.0,454.6,4.725,1.9,26248,1.3558
광주,2017,677.43,2.9,61.6,2.1,1463770,14.6,447.5,4.4892,1.8,27449,1.4537
광주,2018,690.04,3.8,60.3,1.2,1459336,14.6,439.6,4.9856,2.0,28594,1.5634
광주,2019,710.76,3.7,61.1,0.2,1456468,14.7,423.8,5.2314,2.0,29807,1.6358
광주,2020,646.87,3.9,52.9,0.4,1450062,14.5,419.0,5.8454,1.8,30823,1.4705
광주,2021,599.47,3.6,54.5,2.6,1441611,15.1,404.0,6.3504,1.8,32098,1.4521
광주,2022,614.72,2.9,58.6,5.1,1431050,14.8,401.0,6.5782,1.6,33497,1.6049
광주,2023,684.24,2.5,59.5,3.7,1419237,15.3,398.9,6.7975,1.7,35143,1.786
광주,2024,686.16,3.0,59.5,2.5,1408422,16.0,392.3,7.1144,1.6,37675,1.8856
대구,2014,809.7,3.8,62.0,1.4,2493264,14.5,479.9,3.7517,1.9,21114,1.0108
대구,2015,790.05,3.5,61.3,0.7,2487829,14.8,462.7,4.5482,1.8,22685,1.0508
대구,2016,679.92,4.1,60.6,1.0,2484557,14.6,458.4,4.3373,1.8,23382,1.0663
대구,2017,624.14,4.0,60.9,2.0,2475231,14.4,451.8,4.1666,1.8,24170,1.0683
대구,2018,621.06,4.4,61.5,1.7,2461769,14.1,445.1,4.4884,1.8,24820,1.1387
대구,2019,670.66,3.7,58.6,0.7,2438031,14.8,423.9,4.8233,1.9,25653,1.2383
대구,2020,620.09,3.9,51.1,0.3,2418346,14.5,418.0,5.4324,1.8,25928,1.1495
대구,2021,625.51,3.7,53.7,2.6,2385412,14.6,404.7,6.0405,1.7,27770,1.1415
대구,2022,663.5,2.9,56.7,5.2,2363691,14.7,399.3,6.2676,1.6,29654,1.2509
대구,2023,658.45,3.1,57.9,3.5,2374960,15.1,401.5,6.5181,1.7,30664,1.4023
대구,2024,643.33,3.4,57.1,2.2,2363629,15.8,396.1,6.8411,1.6,31374,1.5531
대전,2014,925.18,3.4,59.6,0.9,1531809,13.4,574.4,2.8378,2.1,23047,1.0222
대전,2015,908.76,3.4,60.7,0.2,1518775,14.0,524.6,3.5509,2.0,24568,1.0809
대전,2016,813.8,3.2,61.5,0.7,1514370,14.0,512.3,3.5982,1.9,26265,1.1249
대전,2017,778.64,3.4,61.9,1.7,1502227,13.4,495.6,3.4853,1.9,27281,1.1603
대전,2018,770.7,4.2,60.5,1.6,1489936,13.5,484.5,3.7803,2.0,28027,1.2205
대전,2019,731.12,4.2,58.7,0.2,1474870,14.0,457.7,4.0218,2.1,29870,1.2956
대전,2020,691.38,4.4,56.5,0.4,1463882,13.7,450.4,4.5615,2.1,31276,1.1541
대전,2021,620.83,3.3,52.2,2.5,1452251,14.3,430.9,5.0203,1.9,32928,1.1907
대전,2022,720.78,2.4,57.2,4.9,1446072,13.5,429.1,5.1961,1.7,34409,1.4241
대전,2023,718.2,2.8,59.4,3.5,1442216,14.0,438.8,5.3774,1.7,36174,1.6214
대전,2024,706.52,3.0,59.5,2.4,1439157,14.9,433.1,5.6095,1.7,38220,1.8239
부산,2014,860.09,3.8,64.1,1.3,3519401,15.1,418.3,3.6075,2.1,23991,1.0887
부산,2015,841.03,4.1,64.3,0.8,3513777,15.4,404.8,4.3369,1.9,25707,1.1381
부산,2016,771.92,3.9,64.0,1.2,3498529,15.7,399.3,4.274,2.0,26800,1.1959
부산,2017,761.76,4.6,63.7,1.8,3470653,15.2,396.3,4.1811,1.9,27210,1.2343
부산,2018,732.74,4.1,64.0,1.7,3441453,15.1,390.4,4.621,2.0,28355,1.329
