"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"광주광역시","주민등록인구 (명)",1475884,1472199,1469214,1463770,1459336,1456468,1450062,1441611,1431050,1419237,1408422
"광주광역시","순이동인구 (명)",-2977,-9272,-7898,-8118,-6216,-3875,-6083,-5883,-7642,-9017,-7962
"광주광역시","전입인구 (명)",243066,224603,213176,208138,218892,217130,226163,212888,182924,162916,172439
"광주광역시","전출인구 (명)",246043,233875,221074,216256,225108,221005,232246,218771,190566,171933,180401
"광주광역시","출생아수 (명)",12729,12441,11580,10120,9105,8364,7318,7956,7446,6172,6034
"광주광역시","인구총조사 인구",-,1502881,1501557,1496172,1490092,1489730,1477573,1475262,1468972,1457090,1444171
"광주광역시","평균연령",-,38,39,40,40,41,41,42,42,43,44
"광주광역시","사망자수 (명)",6935,7443,7247,7560,7781,7635,7785,7981,9350,8866,9136
"광주광역시","등록외국인 현황 (명)",17064,18455,19920,21279,22815,23825,21323,20934,22967,25348,26557
"광주광역시","합계출산율",1.199,1.207,1.168,1.053,0.972,0.913,0.811,0.896,0.844,0.706,0.699
"광주광역시","농가인구 (명)",32062,30746,29800,26761,25347,24101,39873,35403,31688,30390,27686
"광주광역시","조이혼율",2.1,1.9,1.9,1.8,2.0,2.0,1.8,1.8,1.6,1.7,1.6
"광주광역시","조혼인율",5.6,5.4,5.1,4.9,4.6,4.3,3.8,3.4,3.4,3.6,4.0
"광주광역시","혼인건수 (건)",8213,7945,7468,7141,6632,6297,5560,4901,4902,5169,5688
"광주광역시","신혼부부수 (쌍)",-,40707,39309,37534,35659,33878,31648,29596,27708,25954,25001
"광주광역시","이혼건수 (건)",3051,2842,2817,2694,2887,2915,2604,2572,2360,2399,2258
"광주광역시","결핵신고 신환자수",1006,1000,908,856,805,706,595,541,438,453,404
"광주광역시","비만유병률 (%)",-,-,-,-,31.5,33.3,-,-,-,-,-
"광주광역시","건강생활실천율 (%)",24.0,33.2,29.4,33.4,33.9,32.2,25.5,32.7,36.5,35.2,40.6
"광주광역시","인플루엔자 예방접종률 (%)",32.6,33.0,32.5,35.0,37.4,40.0,44.6,46.4,42.3,45.0,41.5
"광주광역시","미충족의료율 (%)",-,-,-,-,-,6.7,5.8,5.6,5.8,6.1,4.3
"광주광역시","고위험음주율 (%)",16.0,16.5,16.9,15.6,15.9,16.4,13.7,16.2,15.2,14.3,16.3
"광주광역시","음주율 (%)",60.6,61.9,58.6,61.6,60.3,61.1,52.9,54.5,58.6,59.5,59.5
"광주광역시","흡연율 (%)",23.1,19.5,19.7,21.6,21.1,19.6,18.5,17.4,18.4,18.3,16.7
"광주광역시","주관적 건강수준인지율 (%)",42.9,45.9,45.7,46.5,40.9,41.3,60.7,48.6,48.2,50.8,56.7
"광주광역시","EQ-5D (점)",0.950,0.958,0.958,0.956,0.965,0.958,-,-,-,-,-
"광주광역시","스트레스인지율 (%)",28.1,27.8,28.7,28.4,26.4,28.1,27.4,27.7,25.9,24.7,24.7
"광주광역시","의료기관 수술인원 (명)",42013,41614,41196,41305,41251,43189,41676,43949,43591,41769,42261
"광주광역시","학급당 학생수 (명)",26.83,26.16,25.23,24.43,23.45,22.84,22.35,22.21,21.79,21.46,21.04
"광주광역시","유치원 수 (개)",308,315,321,318,314,312,298,294,288,286,273
"광주광역시","유치원 원아수 (명)",22288,23741,24790,24654,24609,23252,23220,22198,20998,19911,18924
"광주광역시","유치원 교원수 (명)",1789,1909,1924,1976,1969,1884,1963,1925,1826,1925,1928
"광주광역시","초등학교 수 (개)",150,153,153,154,154,155,155,155,155,155,155
"광주광역시","초등학교 학생수 (명)",93163,91862,89095,88189,88622,88990,86419,84998,83929,81730,78107
"광주광역시","초등학교 교원수 (명)",6001,6013,6027,6025,6084,6068,6046,6022,6029,6044,5978
"광주광역시","예금은행예금액 (십억원)",19139,21420,24067,24235,24104,25262,28574,30481,31619,31248,32017
"광주광역시","소비자물가 등락률 (%)",1.6,0.3,0.9,2.1,1.2,0.2,0.4,2.6,5.1,3.7,2.5
"광주광역시","예금은행대출금액 (십억원)",24782,28260,30354,31039,33476,36889,42161,45931,47387,49908,52419
"광주광역시","1인당 지역총소득 (천원)",25677,26602,27895,29142,30657,32306,33187,34787,36826,37909,40415
"광주광역시","1인당 가계총처분가능소득 (천원)",17560,18632,18837,19483,20675,21759,22766,23649,25203,26142,27782
"광주광역시","소비자물가지수 (2020=100)",95.04,95.31,96.18,98.19,99.35,99.56,100.00,102.57,107.79,111.76,114.57
"광주광역시","고용보험 신규취득자수 (명)",22291,22726,21457,20571,22498,24708,24819,23665,21782,20811,22498
"광주광역시","경제활동인구(시도) (천명)",753,755,753,766,779,778,778,772,772,789,799
"광주광역시","경제활동참가율(시도) (%)",60.5,60.3,59.9,60.8,61.7,61.5,61.0,60.3,60.4,61.6,62.5
"광주광역시","고용률(시도) (%)",58.8,58.5,58.1,59.0,59.4,59.3,58.7,58.2,58.6,60.1,60.6
"광주광역시","청년고용률 (%)",36.7,35.3,34.1,36.3,39.4,39.6,39.6,37.3,38.8,38.9,38.1
"광주광역시","취업자수(시도) (천명)",732,733,730,744,749,750,748,745,750,769,774
"광주광역시","실업률(시도) (%)",2.8,2.9,3.1,2.9,3.8,3.7,3.9,3.6,2.9,2.5,3.0
"광주광역시","임금상승률  (%)",3.1,2.8,2.7,3.8,2.6,5.0,1.6,5.1,4.6,2.7,4.0
"광주광역시","상용 월평균 임금 (원)",2493312,2562254,2630845,2731776,2803147,2942622,2989188,3141221,3284566,3373343,3508824
"광주광역시","근로시간 (시간)",-,-,-,-,-,-,160.3,173.2,166.1,-,-
"광주광역시","구인배수",0.54,0.55,0.72,0.66,0.58,0.53,0.48,0.56,0.59,0.44,0.35
"광주광역시","청년실업률 (%)",6.8,7.6,9.8,7.5,8.6,9.7,8.8,7.7,6.5,5.6,7.6
"광주광역시","취업자증감 (천명)",25.6,1.6,-3.2,13.9,5.2,0.4,-2.0,-2.8,5.3,18.7,5.6
"광주광역시","실업자수 (천명)",21,22,23,22,30,29,30,28,22,20,24
"광주광역시","주택보급률 (%)",103.9,103.5,104.5,105.3,106.6,107.0,106.8,104.5,105.2,105.5,106.4
"광주광역시","도시지역면적 (㎡)",480050517,480050517,481554450,480047663,480053767,480002734,480081726,479978979,479890096,479838049,479818783
"광주광역시","주택건설 인허가실적 (호)",11668,15456,25038,21754,11820,18349,10651,5361,10708,11479,5754
"광주광역시","토지거래면적",15710,17970,16017,18441,16335,13244,17182,18786,13534,8944,6242
