"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대구광역시","주민등록인구 (명)",2493264,2487829,2484557,2475231,2461769,2438031,2418346,2385412,2363691,2374960,2363629
"대구광역시","순이동인구 (명)",-15526,-12940,-9260,-11936,-14242,-23673,-16835,-24319,-11519,-5288,-4712
"대구광역시","전입인구 (명)",350213,351424,328228,321182,321158,312419,347248,304761,265354,296291,303544
"대구광역시","전출인구 (명)",365739,364364,337488,333118,335400,336092,364083,329080,276873,301579,308256
"대구광역시","출생아수 (명)",19361,19438,18298,15946,14400,13233,11193,10661,10134,9410,10103
"대구광역시","인구총조사 인구",-,2466052,2461002,2453041,2444412,2429940,2410700,2387911,2366852,2379188,2369335
"대구광역시","평균연령",-,41,41,42,42,43,43,44,45,45,46
"대구광역시","사망자수 (명)",12642,13081,13502,13629,14070,13752,14460,14560,17592,16556,16775
"대구광역시","등록외국인 현황 (명)",25203,26141,26493,26442,28033,30191,27798,27230,29568,33305,36710
"대구광역시","합계출산율",1.169,1.216,1.186,1.067,0.987,0.932,0.807,0.785,0.757,0.702,0.754
"대구광역시","농가인구 (명)",49187,44542,43743,42395,39903,39239,60630,54006,51862,48140,45637
"대구광역시","조이혼율",1.9,1.8,1.8,1.8,1.8,1.9,1.8,1.7,1.6,1.7,1.6
"대구광역시","조혼인율",5.1,5.1,5.0,4.6,4.5,4.1,3.5,3.1,3.2,3.4,3.9
"대구광역시","혼인건수 (건)",12552,12545,12216,11392,10967,9880,8340,7287,7497,8150,9289
"대구광역시","신혼부부수 (쌍)",-,62811,61356,59102,56985,54078,49774,45094,41617,39645,39464
"대구광역시","이혼건수 (건)",4794,4497,4383,4380,4530,4655,4345,4111,3675,3931,3816
"대구광역시","결핵신고 신환자수",2266,1899,1865,1652,1491,1331,1208,1095,928,953,899
"대구광역시","비만유병률 (%)",-,-,-,-,31.3,32.5,-,-,-,-,-
"대구광역시","건강생활실천율 (%)",29.6,34.1,27.3,31.7,34.1,32.6,29.1,31.5,33.9,38.1,36.5
"대구광역시","인플루엔자 예방접종률 (%)",33.4,34.9,34.0,36.1,36.2,40.5,44.7,43.6,36.4,41.3,38.3
"대구광역시","미충족의료율 (%)",-,-,-,-,-,6.4,4.1,3.5,5.0,4.9,3.8
"대구광역시","고위험음주율 (%)",15.9,16.4,15.6,15.6,14.7,15.3,12.9,13.2,12.7,13.8,13.3
"대구광역시","음주율 (%)",62.0,61.3,60.6,60.9,61.5,58.6,51.1,53.7,56.7,57.9,57.1
"대구광역시","흡연율 (%)",23.6,21.2,20.7,20.8,21.7,19.8,19.4,18.8,17.4,19.4,19.0
"대구광역시","주관적 건강수준인지율 (%)",41.3,40.4,42.4,41.9,40.5,41.6,57.7,47.4,50.0,48.3,54.1
"대구광역시","EQ-5D (점)",0.951,0.960,0.960,0.963,0.968,0.959,-,-,-,-,-
"대구광역시","스트레스인지율 (%)",26.0,25.4,26.6,25.5,23.3,25.1,23.1,24.2,22.6,23.8,21.9
"대구광역시","의료기관 수술인원 (명)",68644,68402,69649,69920,72021,75548,70830,75772,74506,74676,75269
"대구광역시","학급당 학생수 (명)",26.16,25.30,24.87,24.25,23.61,23.04,22.50,22.58,22.18,22.03,22.21
"대구광역시","유치원 수 (개)",375,392,375,370,369,355,346,342,329,322,320
"대구광역시","유치원 원아수 (명)",34554,36951,38865,38936,38475,36185,35651,33958,32272,30496,29254
"대구광역시","유치원 교원수 (명)",2741,2946,3064,3002,3023,2928,2828,2938,2879,2954,2965
"대구광역시","초등학교 수 (개)",220,221,225,228,229,229,230,232,233,232,240
"대구광역시","초등학교 학생수 (명)",131765,129583,125541,124708,125160,126122,122587,121308,121485,119999,116562
"대구광역시","초등학교 교원수 (명)",8971,8869,8873,8900,9039,9013,8905,8970,8930,8762,8684
"대구광역시","예금은행예금액 (십억원)",42203,46862,47164,48356,48437,52113,57157,60020,61798,64813,68234
"대구광역시","소비자물가 등락률 (%)",1.4,0.7,1.0,2.0,1.7,0.7,0.3,2.6,5.2,3.5,2.2
"대구광역시","예금은행대출금액 (십억원)",53214,61643,66967,71096,74462,80062,88740,98777,103006,106307,109443
"대구광역시","1인당 지역총소득 (천원)",23925,25327,26455,27681,28554,29413,29509,31558,34000,34402,36183
