"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대전광역시","주민등록인구 (명)",1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251,1446072,1442216,1439157
"대전광역시","순이동인구 (명)",-8838,-20616,-10631,-16175,-14753,-16342,-11097,-8931,-2996,-2474,-1693
"대전광역시","전입인구 (명)",239559,220774,219252,211449,212879,212424,232321,211565,198705,186084,195980
"대전광역시","전출인구 (명)",248397,241390,229883,227624,227632,228766,243418,220496,201701,188558,197673
"대전광역시","출생아수 (명)",13962,13774,12436,10851,9337,8410,7481,7414,7677,7194,7266
"대전광역시","인구총조사 인구",-,1538394,1535445,1525849,1511214,1498839,1488435,1479740,1473662,1470336,1467093
"대전광역시","평균연령",-,39,39,40,40,41,41,42,43,43,44
"대전광역시","사망자수 (명)",6564,6961,6958,7029,7403,7502,7572,7889,9302,8677,8842
"대전광역시","등록외국인 현황 (명)",15658,16416,17035,17431,18184,19109,16895,17292,20594,23384,26249
"대전광역시","합계출산율",1.250,1.277,1.192,1.075,0.952,0.883,0.805,0.810,0.842,0.787,0.792
"대전광역시","농가인구 (명)",27590,25569,24525,23272,21985,20697,32804,29025,26564,25179,26298
"대전광역시","조이혼율",2.1,2.0,1.9,1.9,2.0,2.1,2.1,1.9,1.7,1.7,1.7
"대전광역시","조혼인율",6.0,5.8,5.5,5.1,5.0,4.5,4.1,3.7,3.9,3.6,5.6
"대전광역시","혼인건수 (건)",9118,8805,8325,7697,7377,6602,5976,5419,5662,5212,7986
"대전광역시","신혼부부수 (쌍)",-,43803,42449,40061,37736,35066,32559,30342,28879,27229,27758
"대전광역시","이혼건수 (건)",3221,2999,2890,2855,3008,3097,3009,2754,2492,2471,2423
"대전광역시","결핵신고 신환자수",1048,913,844,846,751,664,547,504,450,407,369
"대전광역시","비만유병률 (%)",-,-,-,-,31.1,30.0,-,-,-,-,-
"대전광역시","건강생활실천율 (%)",34.6,38.1,39.6,33.5,36.3,35.4,25.6,30.6,40.2,36.1,40.5
"대전광역시","인플루엔자 예방접종률 (%)",32.8,32.7,32.5,34.6,40.0,39.3,41.0,46.4,38.9,37.5,37.8
"대전광역시","미충족의료율 (%)",-,-,-,-,-,4.6,5.5,3.6,3.5,4.3,3.3
"대전광역시","고위험음주율 (%)",17.1,17.8,16.8,15.9,15.6,15.0,14.5,11.3,13.6,15.8,15.4
"대전광역시","음주율 (%)",59.6,60.7,61.5,61.9,60.5,58.7,56.5,52.2,57.2,59.4,59.5
"대전광역시","흡연율 (%)",22.2,21.1,21.0,20.9,22.7,18.9,17.3,17.8,18.5,19.0,18.6
"대전광역시","주관적 건강수준인지율 (%)",48.2,50.1,51.5,51.0,48.0,52.4,63.4,55.2,58.3,59.6,59.7
"대전광역시","EQ-5D (점)",0.960,0.958,0.957,0.963,0.966,0.967,-,-,-,-,-
"대전광역시","스트레스인지율 (%)",28.7,29.2,31.5,25.6,27.9,25.2,23.9,24.0,24.5,28.3,25.4
"대전광역시","의료기관 수술인원 (명)",40539,39498,40892,41609,41655,44009,41712,43703,44153,43662,44815
"대전광역시","학급당 학생수 (명)",26.20,25.42,24.68,24.14,23.12,22.13,21.53,21.36,20.69,20.45,20.24
"대전광역시","유치원 수 (개)",265,268,269,269,269,260,256,253,255,251,248
"대전광역시","유치원 원아수 (명)",25024,25660,25921,25067,24012,22898,22132,21276,20405,18937,17855
"대전광역시","유치원 교원수 (명)",1879,1904,1953,1976,2004,1921,1933,1915,1947,1916,1894
"대전광역시","초등학교 수 (개)",143,146,146,147,148,148,148,148,149,149,150
"대전광역시","초등학교 학생수 (명)",91599,89464,85939,84240,83453,82743,79807,77884,76960,74888,71366
"대전광역시","초등학교 교원수 (명)",5976,6006,6005,6010,6030,6007,6035,6034,6037,5956,5928
"대전광역시","예금은행예금액 (십억원)",25693,28046,28605,30602,30909,33905,38725,40425,46350,47843,49950
"대전광역시","소비자물가 등락률 (%)",0.9,0.2,0.7,1.7,1.6,0.2,0.4,2.5,4.9,3.5,2.4
"대전광역시","예금은행대출금액 (십억원)",25805,27830,29591,31051,33252,35318,39341,41555,42121,43631,47511
"대전광역시","1인당 지역총소득 (천원)",26759,28460,29703,31906,32556,34444,35367,36934,39378,40857,42349
"대전광역시","1인당 가계총처분가능소득 (천원)",18387,19568,19917,20619,21756,22978,23916,24774,26158,27418,28753
"대전광역시","소비자물가지수 (2020=100)",95.46,95.65,96.30,97.89,99.41,99.62,100.00,102.50,107.52,111.24,113.88
"대전광역시","고용보험 신규취득자수 (명)",27195,27626,25783,23989,26923,29714,30718,28040,26750,23869,26923
"대전광역시","경제활동인구(시도) (천명)",788,797,800,791,792,806,816,811,813,820,814
"대전광역시","경제활동참가율(시도) (%)",61.2,61.7,61.7,61.0,61.3,62.4,63.4,63.0,63.1,63.4,62.5
"대전광역시","고용률(시도) (%)",59.1,59.6,59.7,58.9,58.7,59.8,60.7,60.9,61.6,61.6,60.6
"대전광역시","청년고용률 (%)",39.2,38.9,41.1,40.2,38.1,40.6,44.7,45.0,48.0,44.4,43.4
"대전광역시","취업자수(시도) (천명)",762,770,774,764,759,772,780,785,794,797,789
"대전광역시","실업률(시도) (%)",3.4,3.4,3.2,3.4,4.2,4.2,4.4,3.3,2.4,2.8,3.0
"대전광역시","임금상승률  (%)",3.0,1.9,4.5,2.9,3.8,3.0,0.5,3.0,4.6,2.6,3.0
"대전광역시","상용 월평균 임금 (원)",2805150,2857131,2985356,3071837,3189820,3287005,3301865,3401031,3556267,3648549,3758386
"대전광역시","근로시간 (시간)",-,-,-,-,-,-,159.2,173.2,164.0,-,-
"대전광역시","구인배수",0.39,0.45,0.40,0.34,0.28,0.28,0.28,0.29,0.39,0.31,0.27
"대전광역시","청년실업률 (%)",7.8,8.9,8.2,7.7,10.5,9.6,7.7,6.9,4.4,6.0,6.0
"대전광역시","취업자증감 (천명)",28.0,7.8,4.2,-10.1,-5.2,13.4,8.4,4.3,8.9,3.5,-8.0
"대전광역시","실업자수 (천명)",27,27,26,27,34,34,36,27,19,23,25
"대전광역시","주택보급률 (%)",102.6,102.2,101.7,101.2,101.6,101.4,98.3,97.0,97.2,96.4,98.5
"대전광역시","도시지역면적 (㎡)",495258867,495546287,495546287,495546171,495818299,496123890,496123890,496123890,496123890,496123890,496123742
"대전광역시","주택건설 인허가실적 (호)",5091,8853,14256,11304,6085,20683,16732,13809,18192,14087,28340
"대전광역시","토지거래면적",9964,13666,11582,11942,12139,10474,13307,14228,10278,6362,7319
"대전광역시","건축허가면적증감률 (%)",33.6,34.6,5.0,-15.3,-2.3,17.9,31.2,-2.8,15.1,-34.9,119.5
"대전광역시","주택수 (호)",-,468885,474193,479161,486764,492797,496875,501218,510178,514123,523823
"대전광역시","농가수 (가구)",9357,9428,9398,9127,8852,8920,13491,12241,11298,10999,11767
