"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"부산광역시","주민등록인구 (명)",3519401,3513777,3498529,3470653,3441453,3413841,3391946,3350380,3317812,3293362,3266598
"부산광역시","순이동인구 (명)",-15092,-13560,-21392,-28398,-26759,-23354,-14347,-18903,-13562,-11432,-13657
"부산광역시","전입인구 (명)",485710,507031,459015,439073,416095,411704,491829,441323,383848,364271,378597
"부산광역시","전출인구 (명)",500802,520591,480407,467471,442854,435058,506176,460226,397410,375703,392254
"부산광역시","출생아수 (명)",26190,26645,24906,21480,19152,17049,15058,14446,14134,12866,13063
"부산광역시","인구총조사 인구",-,3448737,3440484,3416918,3395278,3372692,3349016,3324335,3295760,3279604,3257256
"부산광역시","평균연령",-,42,43,43,44,44,45,45,46,46,47
"부산광역시","사망자수 (명)",20230,20820,21074,21434,22570,22260,22950,23531,27713,26303,26816
"부산광역시","어가인구 (명)",5324,5733,5699,4954,4730,4601,4266,3274,3150,2971,2789
"부산광역시","등록외국인 현황 (명)",38315,39991,41840,42837,45738,45999,40366,39420,42863,49090,55805
"부산광역시","합계출산율",1.090,1.139,1.095,0.976,0.899,0.827,0.747,0.728,0.723,0.664,0.683
"부산광역시","농가인구 (명)",19935,20944,20554,19133,17400,16578,28529,25044,22423,22942,21845
"부산광역시","조이혼율",2.1,1.9,2.0,1.9,2.0,2.0,1.9,1.9,1.7,1.7,1.6
"부산광역시","조혼인율",5.4,5.3,4.9,4.5,4.3,4.1,3.6,3.3,3.2,3.1,3.5
"부산광역시","혼인건수 (건)",18927,18553,17113,15677,14781,13780,12128,11081,10618,10303,11499
"부산광역시","신혼부부수 (쌍)",-,90578,88339,83545,77755,72403,67632,62431,58215,54388,51689
"부산광역시","이혼건수 (건)",7345,6649,6859,6651,6678,6787,6497,6248,5523,5452,5185
"부산광역시","결핵신고 신환자수",3240,3046,2859,2462,2243,2064,1658,1623,1340,1285,1141
"부산광역시","비만유병률 (%)",-,-,-,-,31.4,32.3,-,-,-,-,-
"부산광역시","건강생활실천율 (%)",30.5,31.9,31.3,34.6,39.0,36.0,29.3,34.4,38.6,39.3,45.5
"부산광역시","인플루엔자 예방접종률 (%)",31.0,33.8,33.9,35.0,36.6,37.9,40.3,43.6,38.4,42.1,40.2
"부산광역시","미충족의료율 (%)",-,-,-,-,-,5.4,5.5,6.1,6.3,5.6,6.8
"부산광역시","고위험음주율 (%)",18.4,19.3,18.4,18.4,21.2,17.5,15.5,15.0,17.8,16.3,15.7
"부산광역시","음주율 (%)",64.1,64.3,64.0,63.7,64.0,61.9,56.0,54.3,59.2,59.6,61.4
"부산광역시","흡연율 (%)",23.4,21.7,21.7,21.7,21.1,19.0,18.5,17.8,18.3,18.8,16.8
"부산광역시","주관적 건강수준인지율 (%)",42.6,44.7,43.3,42.8,40.4,40.4,54.1,46.9,49.5,47.0,47.9
"부산광역시","EQ-5D (점)",0.954,0.960,0.954,0.958,0.962,0.956,-,-,-,-,-
"부산광역시","스트레스인지율 (%)",26.9,27.5,27.0,25.8,24.4,23.7,25.8,25.7,22.8,23.9,22.6
"부산광역시","의료기관 수술인원 (명)",120817,119230,121970,124608,126795,131754,127807,134591,129471,124369,128750
"부산광역시","학급당 학생수 (명)",25.30,24.68,24.38,23.81,23.22,22.65,22.26,22.25,21.64,21.47,21.33
"부산광역시","유치원 수 (개)",395,403,412,417,413,408,403,397,394,384,375
"부산광역시","유치원 원아수 (명)",43909,45175,46628,45853,44361,42240,40765,38651,36308,34244,32814
"부산광역시","유치원 교원수 (명)",3406,3478,3558,3672,3592,3519,3467,3428,3410,3523,3401
"부산광역시","초등학교 수 (개)",305,306,308,308,305,304,304,304,304,305,305
"부산광역시","초등학교 학생수 (명)",155754,154283,151207,150863,152775,155589,153527,153921,154858,152219,146511
"부산광역시","초등학교 교원수 (명)",10540,10414,10250,10173,10170,10152,10148,10171,10537,10465,10651
"부산광역시","예금은행예금액 (십억원)",67847,73156,79929,81766,80984,90143,101059,96071,97641,102758,114493
"부산광역시","소비자물가 등락률 (%)",1.3,0.8,1.2,1.8,1.7,0.5,0.2,2.5,4.8,3.7,2.5
"부산광역시","예금은행대출금액 (십억원)",84346,92110,99123,106819,113617,120127,132191,143138,148637,153596,159740
"부산광역시","1인당 지역총소득 (천원)",27178,27678,28369,28776,29617,30892,31112,32832,34263,35860,38448
"부산광역시","1인당 가계총처분가능소득 (천원)",17835,18609,18637,19161,20022,21096,21715,22338,23730,24853,26157
"부산광역시","소비자물가지수 (2020=100)",94.02,94.81,95.93,97.64,99.34,99.82,100.00,102.46,107.35,111.33,114.12
"부산광역시","고용보험 신규취득자수 (명)",64255,58987,55207,48033,48210,49992,50136,49015,49110,46734,48210
"부산광역시","경제활동인구(시도) (천명)",1760,1756,1754,1766,1729,1741,1712,1715,1730,1746,1740
"부산광역시","경제활동참가율(시도) (%)",59.0,58.7,58.5,59.0,58.1,58.8,58.1,58.2,58.9,59.6,59.6
"부산광역시","고용률(시도) (%)",56.7,56.3,56.2,56.3,55.7,56.6,55.6,56.2,57.1,57.7,57.8
"부산광역시","청년고용률 (%)",38.2,38.8,40.3,41.2,40.4,42.9,40.5,41.2,42.0,43.9,46.1
"부산광역시","취업자수(시도) (천명)",1693,1684,1686,1685,1657,1676,1640,1657,1679,1691,1688
"부산광역시","실업률(시도) (%)",3.8,4.1,3.9,4.6,4.1,3.7,4.2,3.4,3.0,3.1,3.0
"부산광역시","임금상승률  (%)",1.5,2.4,2.8,3.4,6.3,3.0,2.4,5.3,3.5,3.1,4.8
"부산광역시","상용 월평균 임금 (원)",2558970,2620611,2694140,2786616,2962069,3050186,3124238,3288414,3404468,3510555,3679216
"부산광역시","근로시간 (시간)",-,-,-,-,-,-,160.1,175.5,168.8,-,-
"부산광역시","구인배수",0.58,0.60,0.52,0.43,0.42,0.38,0.31,0.38,0.50,0.45,0.41
