"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"울산광역시","주민등록인구 (명)",1166377,1173534,1172304,1165132,1155623,1148019,1136017,1121592,1110663,1103661,1098049
"울산광역시","순이동인구 (명)",2786,-80,-7622,-11917,-12654,-10172,-13584,-13674,-9536,-6215,-4854
"울산광역시","전입인구 (명)",176015,170393,148190,135199,127922,142056,136112,129880,107747,116641,113332
"울산광역시","전출인구 (명)",173229,170473,155812,147116,140576,152228,149696,143554,117283,122856,118186
"울산광역시","출생아수 (명)",11556,11732,10910,9381,8149,7539,6617,6127,5399,5082,5282
"울산광역시","인구총조사 인구",-,1166615,1166033,1157077,1150116,1143692,1135423,1120753,1110516,1107432,1106895
"울산광역시","평균연령",-,38,39,40,40,41,42,42,43,44,44
"울산광역시","사망자수 (명)",4695,4915,4947,4886,5349,5268,5302,5493,6369,6076,6343
"울산광역시","어가인구 (명)",2565,2292,2214,2154,1951,1903,1441,1326,1213,1238,1235
"울산광역시","등록외국인 현황 (명)",25885,26183,23457,20513,20002,20450,17884,16827,18379,23620,27642
"울산광역시","합계출산율",1.437,1.486,1.418,1.261,1.131,1.084,0.984,0.940,0.848,0.814,0.859
"울산광역시","농가인구 (명)",29687,31228,31278,30577,28859,27208,36806,30584,29303,26902,27974
"울산광역시","조이혼율",2.4,2.1,2.2,2.2,2.3,2.2,2.2,2.2,1.9,1.9,1.8
"울산광역시","조혼인율",6.6,6.4,6.0,5.4,5.1,4.7,4.2,3.6,3.6,3.9,4.3
"울산광역시","혼인건수 (건)",7674,7483,7006,6331,5894,5442,4737,4077,4013,4274,4726
"울산광역시","신혼부부수 (쌍)",-,38537,37507,35376,32861,30431,27835,24721,22614,21203,20572
"울산광역시","이혼건수 (건)",2731,2406,2520,2519,2658,2534,2460,2425,2165,2060,1977
"울산광역시","결핵신고 신환자수",895,777,802,695,735,583,472,448,365,317,366
"울산광역시","비만유병률 (%)",-,-,-,-,29.9,33.1,-,-,-,-,-
"울산광역시","건강생활실천율 (%)",27.5,30.1,23.4,28.2,32.1,29.8,28.2,29.4,33.7,37.7,39.4
"울산광역시","인플루엔자 예방접종률 (%)",38.7,38.2,38.9,40.5,40.5,41.8,44.6,48.2,44.3,46.0,43.1
"울산광역시","미충족의료율 (%)",-,-,-,-,-,6.3,5.5,3.8,4.8,7.2,7.6
"울산광역시","고위험음주율 (%)",17.7,18.0,18.6,19.9,18.8,17.9,15.0,14.3,17.0,17.1,17.0
"울산광역시","음주율 (%)",63.3,63.8,63.7,63.2,62.6,63.5,57.4,56.5,62.0,61.0,62.4
"울산광역시","흡연율 (%)",22.5,21.2,22.2,20.9,20.2,19.0,20.0,18.7,19.8,19.7,19.2
"울산광역시","주관적 건강수준인지율 (%)",44.8,43.7,43.6,46.1,47.0,43.8,54.6,48.6,48.2,45.1,46.1
"울산광역시","EQ-5D (점)",0.951,0.959,0.963,0.967,0.969,0.959,-,-,-,-,-
"울산광역시","스트레스인지율 (%)",25.2,23.8,24.9,24.4,25.2,23.9,25.6,24.8,21.9,25.8,22.2
"울산광역시","의료기관 수술인원 (명)",34048,34212,34966,35341,34831,35978,34394,35309,34612,34893,36697
"울산광역시","학급당 학생수 (명)",26.48,25.82,25.33,24.68,23.90,22.99,22.63,22.74,21.96,21.92,21.84
"울산광역시","유치원 수 (개)",196,194,196,199,197,200,198,196,191,188,186
"울산광역시","유치원 원아수 (명)",18336,19177,19604,19571,18545,17266,16882,15871,14779,13513,12829
"울산광역시","유치원 교원수 (명)",1224,1225,1284,1301,1270,1186,1208,1187,1167,1150,1131
"울산광역시","초등학교 수 (개)",119,119,117,118,117,119,120,121,121,121,121
"울산광역시","초등학교 학생수 (명)",65810,66134,65629,66016,67290,68512,67397,66919,66450,65103,62345
"울산광역시","초등학교 교원수 (명)",4346,4260,4235,4240,4229,4322,4301,4380,4537,4500,4480
"울산광역시","예금은행예금액 (십억원)",14874,15506,16081,15899,15886,16646,18232,19384,21987,23085,24407
"울산광역시","소비자물가 등락률 (%)",1.2,0.5,1.0,1.9,1.0,-0.3,0.3,2.5,5.0,3.6,2.3
"울산광역시","예금은행대출금액 (십억원)",21981,24058,25364,26949,27621,28495,30498,31856,32268,33180,35752
"울산광역시","1인당 지역총소득 (천원)",47558,50693,53523,52675,53566,54941,53378,57151,56854,61103,66747
"울산광역시","1인당 가계총처분가능소득 (천원)",22106,22904,22883,22973,23252,24079,24671,25672,27079,29378,31117
"울산광역시","소비자물가지수 (2020=100)",95.81,96.25,97.21,99.01,100.03,99.71,100.00,102.49,107.57,111.43,113.97
"울산광역시","고용보험 신규취득자수 (명)",23540,21462,18168,14468,15068,15388,16247,15958,15960,17156,15068
"울산광역시","경제활동인구(시도) (천명)",572,590,599,605,602,596,585,575,584,592,594
"울산광역시","경제활동참가율(시도) (%)",59.9,60.8,61.3,61.9,61.8,61.7,60.7,59.8,61.1,61.9,62.1
"울산광역시","고용률(시도) (%)",58.3,59.0,59.0,59.8,59.0,59.1,58.1,57.7,59.2,59.7,59.8
"울산광역시","청년고용률 (%)",38.5,38.3,38.7,40.9,40.4,39.1,37.6,36.5,40.5,40.3,40.2
"울산광역시","취업자수(시도) (천명)",556,573,576,584,574,571,560,555,566,572,572
"울산광역시","실업률(시도) (%)",2.7,2.9,3.8,3.5,4.6,4.2,4.2,3.6,3.2,3.4,3.7
"울산광역시","임금상승률  (%)",4.2,4.5,1.2,1.5,3.4,3.0,1.8,2.2,6.0,4.6,4.5
"울산광역시","상용 월평균 임금 (원)",2952210,3084932,3122883,3169771,3279013,3377777,3438056,3515389,3725381,3896517,4073209
"울산광역시","근로시간 (시간)",-,-,-,-,-,-,168.1,179.6,170.2,-,-
"울산광역시","구인배수",0.90,0.86,0.74,0.51,0.46,0.41,0.38,0.39,0.56,0.54,0.44
"울산광역시","청년실업률 (%)",8.0,9.3,11.1,8.5,9.8,8.8,11.6,8.0,7.8,9.7,9.7
"울산광역시","취업자증감 (천명)",2.7,16.2,3.1,7.9,-9.4,-2.8,-11.0,-5.6,11.0,5.8,0.7
"울산광역시","실업자수 (천명)",16,17,23,21,28,25,25,21,19,20,22
"울산광역시","주택보급률 (%)",106.3,106.9,107.3,109.3,110.3,111.5,110.2,108.6,108.4,108.6,107.6
"울산광역시","도시지역면적 (㎡)",755598443,755550507,755545355,755551876,755545356,755545353,761731893,764204857,764212886,671649337,677663085
