"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"인천광역시","주민등록인구 (명)",2902608,2925815,2943069,2948542,2954642,2957026,2942828,2948375,2967314,2997410,3021010
"인천광역시","순이동인구 (명)",9324,9538,5777,-1670,-67,-2337,-15748,11423,28101,33507,25643
"인천광역시","전입인구 (명)",452297,473223,441646,409465,433639,420014,444556,433137,395140,424127,397818
"인천광역시","전출인구 (명)",442973,463685,435869,411135,433706,422351,460304,421714,367039,390620,372175
"인천광역시","출생아수 (명)",25786,25491,23609,20445,20087,18522,16040,14947,14464,13659,15236
"인천광역시","인구총조사 인구",-,2890451,2913024,2925967,2936117,2952237,2945454,2957044,2989125,3025950,3058033
"인천광역시","평균연령",-,39,40,40,41,42,42,43,43,44,44
"인천광역시","사망자수 (명)",13409,13452,14119,14290,15316,15131,15689,16493,18957,18242,18827
"인천광역시","어가인구 (명)",6138,5069,5133,5034,4729,4409,3512,3480,3030,2980,2943
"인천광역시","등록외국인 현황 (명)",55323,57669,59103,62596,67869,72259,67648,66364,71849,81016,89129
"인천광역시","합계출산율",1.212,1.216,1.144,1.007,1.006,0.940,0.829,0.778,0.747,0.694,0.762
"인천광역시","농가인구 (명)",32089,32454,31226,29991,27642,27096,31828,28128,25757,24145,24480
"인천광역시","조이혼율",2.6,2.5,2.4,2.4,2.4,2.5,2.4,2.3,2.1,2.1,2.0
"인천광역시","조혼인율",6.0,5.9,5.5,5.2,5.1,4.6,4.0,3.7,3.7,3.9,4.4
"인천광역시","혼인건수 (건)",17251,17118,16092,15235,14850,13401,11574,10881,10849,11621,13223
"인천광역시","신혼부부수 (쌍)",-,89747,87898,83619,80023,75794,69296,65347,62844,61084,61064
"인천광역시","이혼건수 (건)",7417,7116,7097,6988,7011,7176,6931,6740,6045,6243,5948
"인천광역시","결핵신고 신환자수",2168,2110,2028,1865,1699,1640,1303,1185,1037,1017,950
"인천광역시","비만유병률 (%)",-,-,-,-,34.5,35.1,-,-,-,-,-
"인천광역시","건강생활실천율 (%)",33.6,32.6,30.4,32.4,36.5,35.4,31.8,32.8,38.8,42.1,41.3
"인천광역시","인플루엔자 예방접종률 (%)",34.4,35.6,38.9,39.5,40.6,41.6,48.4,47.3,43.0,46.4,47.8
"인천광역시","미충족의료율 (%)",-,-,-,-,-,7.9,7.5,7.3,7.2,7.2,5.9
"인천광역시","고위험음주율 (%)",19.6,18.5,20.0,20.4,19.4,18.3,16.3,16.5,16.5,16.5,16.0
"인천광역시","음주율 (%)",62.7,62.1,62.7,64.0,63.8,60.7,55.3,55.2,58.1,59.5,59.9
